Year	Month	Day	Hour	SWC_5cm
2019	12	14	18	0.278332372
2019	12	14	19	0.278119682
2019	12	14	20	0.278077028
2019	12	14	21	0.277456566
2019	12	14	22	0.278012969
2019	12	14	23	0.277431356
2019	12	15	0	0.278224803
2019	12	15	1	0.278002993
2019	12	15	2	0.277786294
2019	12	15	3	0.278055673
2019	12	15	4	0.278062586
2019	12	15	5	0.278205568
2019	12	15	6	0.277784974
2019	12	15	7	0.278199963
2019	12	15	8	0.278367761
2019	12	15	9	0.278419841
2019	12	15	10	0.278633984
2019	12	15	11	0.27835973
2019	12	15	12	0.277317393
2019	12	15	13	0.27647919
2019	12	15	14	0.274964677
2019	12	15	15	0.273509584
2019	12	15	16	0.272674068
2019	12	15	17	0.272039032
2019	12	15	18	0.271739182
2019	12	15	19	0.271578905
2019	12	15	20	0.271627876
2019	12	15	21	0.271520937
2019	12	15	22	0.271615935
2019	12	15	23	0.271744692
2019	12	16	0	0.271419505
2019	12	16	1	0.271333282
2019	12	16	2	0.27190318
2019	12	16	3	0.271340014
2019	12	16	4	0.27171734
2019	12	16	5	0.271535216
2019	12	16	6	0.271644833
2019	12	16	7	0.271788681
2019	12	16	8	0.272068547
2019	12	16	9	0.272506471
2019	12	16	10	0.272890308
2019	12	16	11	0.273030267
2019	12	16	12	0.287305892
2019	12	16	13	0.291562169
2019	12	16	14	0.290070342
2019	12	16	15	0.289489959
2019	12	16	16	0.287673315
2019	12	16	17	0.286229172
2019	12	16	18	0.285406293
2019	12	16	19	0.284762213
2019	12	16	20	0.284596609
2019	12	16	21	0.283716503
2019	12	16	22	0.283813813
2019	12	16	23	0.283761646
